dteday,season,holiday,workingday,temp,hum,windspeed,cnt,weathersit_2,weathersit_3,weathersit_4,hr_sin,hr_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos
2011-01-01 00:00:00,1,0,0,9.84,81.0,0.0,16,False,False,False,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 01:00:00,1,0,0,9.02,80.0,0.0,40,False,False,False,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 02:00:00,1,0,0,9.02,80.0,0.0,32,False,False,False,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 03:00:00,1,0,0,9.84,75.0,0.0,13,False,False,False,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 04:00:00,1,0,0,9.84,75.0,0.0,1,False,False,False,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 05:00:00,1,0,0,9.84,75.0,6.0032,1,True,False,False,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 06:00:00,1,0,0,9.02,80.0,0.0,2,False,False,False,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 07:00:00,1,0,0,8.200000000000001,86.0,0.0,3,False,False,False,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 08:00:00,1,0,0,9.84,75.0,0.0,8,False,False,False,0.8660254037844387,-0.49999999999999983,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 09:00:00,1,0,0,13.120000000000001,76.0,0.0,14,False,False,False,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 10:00:00,1,0,0,15.58,76.0,16.997899999999998,36,False,False,False,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 11:00:00,1,0,0,14.76,81.0,19.0012,56,False,False,False,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 12:00:00,1,0,0,17.22,77.0,19.0012,84,False,False,False,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 13:00:00,1,0,0,18.86,72.0,19.999499999999998,94,True,False,False,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 14:00:00,1,0,0,18.86,72.0,19.0012,106,True,False,False,-0.4999999999999998,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 15:00:00,1,0,0,18.04,77.0,19.999499999999998,110,True,False,False,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 16:00:00,1,0,0,17.22,82.0,19.999499999999998,93,True,False,False,-0.8660254037844384,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 17:00:00,1,0,0,18.04,82.0,19.0012,67,True,False,False,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 18:00:00,1,0,0,17.22,88.0,16.997899999999998,35,False,True,False,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2011-01-01 19:00:00,1,0,0,17.22,88.0,16.997899999999998,37,False,True,False,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
